가로등위치명,위도,경도
세종특별자치시 소담동 32-99,36.4799453,127.3080511
세종특별자치시 다정동 산33,36.4918782,127.24104
세종특별자치시 보람동 38-1,36.4784192,127.2991292
세종특별자치시 다정동 산33,36.4923531,127.2406001
세종특별자치시 소담동 32-99,36.4798587,127.3081983
세종특별자치시 다정동 산33,36.4929373,127.2403489
세종특별자치시 보람동 684-1,36.4756019,127.2937572
세종특별자치시 다정동 산33,36.4934853,127.2400868
세종특별자치시 소담동 32-99,36.4797117,127.3052117
세종특별자치시 다정동 산33,36.4940338,127.2398805
세종특별자치시 소담동 32-99,36.4799116,127.3070905
세종특별자치시 다정동 산33,36.4946367,127.2397407
세종특별자치시 소담동 32-99,36.4799427,127.3073593
세종특별자치시 다정동 산33,36.4907759,127.2420106
세종특별자치시 소담동 32-99,36.4799671,127.3076169
세종특별자치시 다정동 산33,36.4911733,127.2421519
세종특별자치시 소담동 32-99,36.4799939,127.3078216
세종특별자치시 다정동 산33,36.4911967,127.2415824
세종특별자치시 소담동 32-99,36.4799853,127.3051726
세종특별자치시 다정동 산33,36.4915854,127.2417684
세종특별자치시 소담동 32-99,36.480026,127.3055115
세종특별자치시 다정동 산33,36.4916358,127.2411875
세종특별자치시 소담동 32-99,36.48006,127.3058448
세종특별자치시 다정동 산33,36.4920068,127.2414183
세종특별자치시 소담동 32-99,36.4800916,127.3061363
세종특별자치시 다정동 산33,36.4921108,127.2407699
세종특별자치시 소담동 32-99,36.4801187,127.3064278
세종특별자치시 다정동 산33,36.4925455,127.2411005
세종특별자치시 소담동 32-99,36.4801549,127.3067193
세종특별자치시 다정동 산33,36.4926856,127.2404629
세종특별자치시 소담동 32-99,36.480182,127.307008
세종특별자치시 다정동 산33,36.4930208,127.2407387
세종특별자치시 소담동 32-99,36.4802159,127.3073022
세종특별자치시 다정동 산33,36.4931977,127.2402124
세종특별자치시 소담동 32-99,36.4802408,127.3075881
세종특별자치시 다정동 산33,36.4935599,127.2404767
세종특별자치시 소담동 32-99,36.4802724,127.3078545
세종특별자치시 다정동 산33,36.493746,127.2399726
세종특별자치시 소담동 32-78,36.4788762,127.3005549
세종특별자치시 다정동 산33,36.4941084,127.2402816
세종특별자치시 소담동 32-78,36.4789184,127.3007228
세종특별자치시 다정동 산33,36.4943395,127.2397771
세종특별자치시 소담동 32-78,36.479596,127.3041749
세종특별자치시 다정동 산33,36.4946663,127.2401423
세종특별자치시 소담동 32-78,36.4795743,127.3039798
세종특별자치시 다정동 산33,36.4949249,127.2397044
세종특별자치시 소담동 32-78,36.4795493,127.3037674
세종특별자치시 다정동 산33,36.4952604,127.240036
세종특별자치시 소담동 32-78,36.4795161,127.3035584
세종특별자치시 다정동 산33,36.4956184,127.2396418
세종특별자치시 소담동 32-78,36.479485,127.3033522
세종특별자치시 다정동 산33,36.4959093,127.2400297
세종특별자치시 소담동 32-78,36.4794559,127.3031381
세종특별자치시 다정동 산33,36.4961952,127.2396474
세종특별자치시 소담동 32-78,36.4794255,127.302937
세종특별자치시 다정동 산33,36.4964772,127.2400576
세종특별자치시 소담동 32-78,36.4793905,127.3027302
세종특별자치시 다정동 산33,36.4952579,127.2396342
세종특별자치시 소담동 32-78,36.4793533,127.3025319
세종특별자치시 다정동 산33,36.4959247,127.2396277
세종특별자치시 소담동 32-78,36.4793168,127.3023466
세종특별자치시 다정동 산33,36.4965108,127.2396666
세종특별자치시 소담동 32-78,36.4792753,127.302144
세종특별자치시 다정동 산33,36.4961437,127.2400497
세종특별자치시 소담동 32-78,36.4792313,127.3019429
세종특별자치시 다정동 산33,36.4955939,127.2400328
세종특별자치시 소담동 32-78,36.479185,127.3017335
세종특별자치시 다정동 산33,36.4949271,127.2400616
세종특별자치시 소담동 32-78,36.4788189,127.3003817
세종특별자치시 다정동 산33,36.4943873,127.2402008
세종특별자치시 소담동 32-78,36.4787613,127.3002031
세종특별자치시 다정동 산33,36.4938296,127.2403625
